epoch,accuracy,learning_rate,loss,sparse_dice_coefficient,val_accuracy,val_loss,val_sparse_dice_coefficient
0,0.0021747464779764414,9.999999747378752e-05,nan,nan,0.0,nan,nan
1,0.0,9.999999747378752e-05,nan,nan,0.0,nan,nan
2,0.0,9.999999747378752e-05,nan,nan,0.0,nan,nan
3,0.0,9.999999747378752e-05,nan,nan,0.0,nan,nan
4,0.0,9.999999747378752e-05,nan,nan,0.0,nan,nan
5,0.0,9.999999747378752e-05,nan,nan,0.0,nan,nan
6,0.0,9.999999747378752e-05,nan,nan,0.0,nan,nan
7,0.0,9.999999747378752e-05,nan,nan,0.0,nan,nan
8,0.0,9.999999747378752e-05,nan,nan,0.0,nan,nan
9,0.0,9.999999747378752e-05,nan,nan,0.0,nan,nan
10,0.0,9.999999747378752e-05,nan,nan,0.0,nan,nan
11,0.0,4.999999873689376e-05,nan,nan,0.0,nan,nan
12,0.0,4.999999873689376e-05,nan,nan,0.0,nan,nan
13,0.0,4.999999873689376e-05,nan,nan,0.0,nan,nan
14,0.0,4.999999873689376e-05,nan,nan,0.0,nan,nan
15,0.0,4.999999873689376e-05,nan,nan,0.0,nan,nan
0,0.864089846611023,9.999999747378752e-05,0.46725812554359436,0.7644677758216858,0.9683387279510498,0.22667276859283447,0.8478444814682007
1,0.9627211093902588,9.999999747378752e-05,0.12397011369466782,0.9420811533927917,0.9682691693305969,0.16692878305912018,0.8906524777412415
2,0.9647435545921326,9.999999747378752e-05,0.10070453584194183,0.9510642290115356,0.965400755405426,0.11807730048894882,0.9260660409927368
3,0.9691508412361145,9.999999747378752e-05,0.08726558834314346,0.9569567441940308,0.9707014560699463,0.0941496193408966,0.9432766437530518
4,0.9709213376045227,9.999999747378752e-05,0.07900363206863403,0.9606345295906067,0.9681492447853088,0.10971023887395859,0.9329288601875305
5,0.972136378288269,9.999999747378752e-05,0.07184842228889465,0.9634807705879211,0.9655104279518127,0.12202940136194229,0.9271128177642822
6,0.9729840159416199,9.999999747378752e-05,0.06637334823608398,0.965833842754364,0.972098171710968,0.08136624842882156,0.9524946212768555
7,0.9740993976593018,9.999999747378752e-05,0.06085927039384842,0.9680755734443665,0.9746640920639038,0.06597572565078735,0.9612712860107422
8,0.9763320684432983,9.999999747378752e-05,0.05514751747250557,0.9702426195144653,0.9741691946983337,0.06767728179693222,0.9601103067398071
9,0.9791349172592163,9.999999747378752e-05,0.049260810017585754,0.97312331199646,0.9784967303276062,0.05504724755883217,0.9668834805488586
10,0.9810162782669067,9.999999747378752e-05,0.048325251787900925,0.9738270044326782,0.9754229784011841,0.06688632071018219,0.9583253264427185
11,0.9840192794799805,9.999999747378752e-05,0.04338383302092552,0.9761807322502136,0.9717764854431152,0.0668380856513977,0.960444450378418
12,0.984809398651123,9.999999747378752e-05,0.042012058198451996,0.9771426320075989,0.9803149104118347,0.050634101033210754,0.9713166952133179
13,0.9858307242393494,9.999999747378752e-05,0.03897762671113014,0.9787939786911011,0.9728384017944336,0.06747564673423767,0.9632540345191956
14,0.9869831204414368,9.999999747378752e-05,0.035980381071567535,0.9804344177246094,0.9791908264160156,0.053832005709409714,0.9685009121894836
15,0.9873536229133606,9.999999747378752e-05,0.034934092313051224,0.98100346326828,0.9840596318244934,0.04150616005063057,0.9774985909461975
16,0.9881356358528137,9.999999747378752e-05,0.03278549388051033,0.9823918342590332,0.9789732098579407,0.05562777817249298,0.9687394499778748
17,0.9885662198066711,9.999999747378752e-05,0.03138697147369385,0.9829737544059753,0.9835456013679504,0.043120432645082474,0.976453423500061
18,0.989223062992096,9.999999747378752e-05,0.029385410249233246,0.9841069579124451,0.9847628474235535,0.040653377771377563,0.9776220321655273
19,0.9892812371253967,9.999999747378752e-05,0.029605431482195854,0.9841758012771606,0.9871233701705933,0.03405972570180893,0.9804674386978149
20,0.9899080395698547,9.999999747378752e-05,0.0274623055011034,0.9850642085075378,0.9830747842788696,0.045406192541122437,0.9753339886665344
21,0.9900749921798706,9.999999747378752e-05,0.02665090374648571,0.9855777621269226,0.9888262152671814,0.03149901330471039,0.9835328459739685
22,0.9903728365898132,9.999999747378752e-05,0.02593090757727623,0.9858753085136414,0.9869549870491028,0.035736989229917526,0.9822636246681213
23,0.9907611012458801,9.999999747378752e-05,0.024481508880853653,0.986685037612915,0.988619327545166,0.031745169311761856,0.9820375442504883
24,0.9910380244255066,9.999999747378752e-05,0.024036185815930367,0.9869307279586792,0.9853615164756775,0.04073313623666763,0.9793433547019958
25,0.9911625385284424,9.999999747378752e-05,0.023358261212706566,0.987252950668335,0.986905038356781,0.036392901092767715,0.9813675284385681
26,0.9915132522583008,9.999999747378752e-05,0.022292569279670715,0.9877590537071228,0.9888797998428345,0.030589019879698753,0.9838252663612366
27,0.9917334914207458,9.999999747378752e-05,0.021375250071287155,0.9881587028503418,0.9903686046600342,0.02693142369389534,0.9859338402748108
28,0.9917953014373779,9.999999747378752e-05,0.021453680470585823,0.9881871342658997,0.9901736974716187,0.02695431001484394,0.9866668581962585
29,0.9917371273040771,9.999999747378752e-05,0.02145342528820038,0.9881953001022339,0.9892579913139343,0.029738878831267357,0.985980749130249
30,0.9920085668563843,9.999999747378752e-05,0.020842760801315308,0.9885480403900146,0.9922381639480591,0.021270807832479477,0.9878110289573669
31,0.9921615123748779,9.999999747378752e-05,0.020274991169571877,0.9887184500694275,0.9910678267478943,0.025521529838442802,0.9882984161376953
32,0.9923542141914368,9.999999747378752e-05,0.019723255187273026,0.9890567660331726,0.9913502931594849,0.023808235302567482,0.9874288439750671
33,0.9927761554718018,9.999999747378752e-05,0.018418598920106888,0.9896486401557922,0.9898605942726135,0.02764705754816532,0.9860368967056274
34,0.9930145740509033,9.999999747378752e-05,0.017959674820303917,0.9899404048919678,0.9906839728355408,0.02680313028395176,0.9870476126670837
35,0.9930123090744019,9.999999747378752e-05,0.017814230173826218,0.9899735450744629,0.9902355074882507,0.027144739404320717,0.986823320388794
36,0.9929827451705933,9.999999747378752e-05,0.018027039244771004,0.9898892045021057,0.9911224246025085,0.025609878823161125,0.9879046082496643
37,0.9934272766113281,9.999999747378752e-05,0.016665201634168625,0.9905843138694763,0.9913240671157837,0.023978425189852715,0.9886707067489624
38,0.993134081363678,9.999999747378752e-05,0.01788312941789627,0.9900673031806946,0.9916350841522217,0.02328692190349102,0.9887334704399109
39,0.9934770464897156,9.999999747378752e-05,0.016565343365073204,0.9906009435653687,0.9917126893997192,0.02281276322901249,0.9892232418060303
40,0.993848979473114,9.999999747378752e-05,0.015616951510310173,0.9911206364631653,0.9920200705528259,0.021637367084622383,0.9896727204322815
41,0.9942919015884399,4.999999873689376e-05,0.01429922878742218,0.9918050169944763,0.9906499981880188,0.026523170992732048,0.9880277514457703
